date,Agric,Food ,Chems,Rubbr,Txtls,Steel,FabPr,Aero ,Ships,Gold ,Mines,Coal ,Oil  ,Util ,Autos
19630827,0.83,-0.2,-0.86,-1.19,-0.36,-1.1,-1.19,-0.39,-0.51,-0.2,0.12,0.56,0.18,-0.25,-0.76
19630828,0.11,0.46,0.71,0.83,0.35,1.12,0.3,0.29,0.3,0.44,0.09,1.18,0.95,0.16,0.94
19630829,0.21,0.33,0.26,-0.81,0.35,-0.12,0.09,1.32,0.32,-0.24,0.32,0.1,-0.03,0.21,-0.23
19630830,0.5,0.44,0.18,0.74,0.42,0.12,-1.25,0.48,-0.01,0.37,0.43,-0.32,0.01,0.19,1
19630903,0.66,0.25,0.01,0.03,-0.04,0.51,2.52,0.07,0.61,0.32,0.33,-0.02,0.15,0.14,0.44
19630904,0.73,-0.23,0.1,0.79,0.23,0.83,-0.33,0.38,-0.05,-0.5,0.39,-0.79,-0.11,0.06,0.07
19630905,-0.91,0.21,0.57,-0.74,0.52,0.95,1.46,0.49,-0.11,0.55,0.08,-0.26,0.43,0.47,0.44
19630906,0.09,-0.22,0.13,-0.87,0.07,-0.23,-0.59,-0.49,-0.26,-0.18,-0.16,0.61,-0.61,-0.36,0.22
19630909,-0.98,-0.04,-0.26,0.24,0,-0.26,-0.43,-0.37,-0.09,-0.2,0.09,0.59,-0.38,-0.22,-0.22
19630910,-1.83,0.45,0.32,0.82,0.65,1.29,0.39,-0.03,-0.24,0.53,1.15,0.23,-0.13,0.15,2.2
19630911,0.34,0.34,0.59,-1,0.16,0.26,0.28,0.16,0.03,0.73,0.15,0.56,0.13,-0.08,0.64
19630912,0.8,0.07,-0.15,-0.51,-0.42,-0.29,-0.19,-1.01,0.2,0.34,0.08,-0.17,-0.05,0.03,-0.49
19630913,0.76,0.28,0.25,-0.3,0.3,-0.21,-0.46,0.29,-0.34,-0.25,-0.47,-0.87,0.21,-0.34,-0.55
19630916,-0.07,-0.06,-0.16,0.01,0.7,-0.5,-0.78,0.36,0.42,-0.19,0.01,0.23,0.3,-0.21,0.35
19630917,0.55,0.29,0.33,0.93,0.28,-0.03,0.51,-0.74,-0.19,-0.72,0.44,-0.22,0.12,-0.12,0.29
19630918,-0.73,-0.44,-0.66,-0.14,0.63,-1.11,-1.34,-0.67,-0.16,-0.29,-0.44,-1.65,-0.39,-0.28,-0.63
19630919,-0.82,0.5,0.52,0.69,0.05,1.46,-1.27,-0.27,0.24,0.36,0.47,-0.64,0.22,0.23,1.02
19630920,0.5,-0.11,0.22,0.74,-0.45,-0.17,0.79,-2.03,-0.36,-0.54,1.05,0.54,-0.14,-0.15,1.06
19630923,-0.4,-0.58,-0.32,-2.21,-1.17,-1.41,-1.17,-1.66,-1.16,-0.04,-0.69,-1.11,-0.42,-0.34,-0.92
19630924,-0.29,-0.06,0.02,0.05,0,1.29,-0.59,0.8,0.46,0.07,-0.57,-0.32,-0.13,-0.02,0.1
19630925,-0.11,-0.52,-0.55,-1.38,-0.78,-0.56,-0.1,-0.48,-0.62,-0.51,-0.7,-0.04,-0.25,-0.48,-0.34
19630926,-0.29,-0.92,-0.2,0.57,-0.89,-1.1,0.46,-0.33,-0.18,-0.58,-0.74,-0.39,-0.48,-0.38,-1.94
19630927,0.34,-0.28,-0.38,-0.21,-0.26,-0.02,-0.27,0.25,-0.31,-0.76,-0.78,0.61,-0.53,-0.23,-0.21
19630930,-0.24,-0.46,-1.21,-0.89,-0.68,-0.35,-0.91,-0.02,-0.45,-0.89,-0.03,-1.92,-1.61,-0.35,-1.07
19631001,0.61,0.46,0.56,0.22,0.54,0.55,1.36,0.83,-0.11,-3.51,0.85,1.14,0.72,0.28,1.75
19631002,-0.53,0.03,-0.14,-0.32,-0.16,0.11,-0.82,0.29,-0.27,3.47,-0.11,0.2,0.28,0.03,0.84
19631003,0.59,0.65,0.61,0.75,1.03,2.73,0.55,0.96,0.47,0.11,0.56,1.43,0.38,0.14,0.94
19631004,0.21,-0.02,-0.22,0.53,0.56,0.06,0.49,-0.28,0.95,-0.59,0.95,-0.34,0.44,-0.23,-0.12
19631007,0.06,-0.13,-0.07,-0.21,-0.27,0.06,0.18,-0.1,-0.19,0.23,0.44,0.42,-0.41,-0.12,-0.29
19631008,0.03,0.31,-0.19,-0.13,-0.05,-0.37,-1.64,-0.8,0.21,0.02,0.07,1.38,-0.75,0.04,0.83
19631009,-0.45,0.04,-0.45,-1.26,-0.15,-1.24,0.02,-1,-0.13,-0.45,-1.35,0.57,-1.13,-0.38,-0.58
19631010,0,-0.48,0.11,0.3,0.3,0.01,0.54,-0.09,0,0.37,0.02,-0.43,-0.41,-0.05,0.11
19631011,-0.64,0.39,0.15,1.16,0.35,0.1,0.5,0.27,0.11,-0.16,1.31,0.23,-0.09,-0.17,-0.1
19631014,0.02,0.14,0.1,-0.34,-0.06,0.6,-0.38,-0.18,-0.36,-0.1,0.43,0.43,-0.08,-0.07,-0.15
19631015,0.16,0.12,0.33,-0.29,0.23,0.21,-1.33,-0.48,-0.33,-0.65,0.39,-0.72,0.49,0.12,-0.24
19631016,-0.29,0.14,0.03,0.72,0.27,1.4,1.24,1.52,0.71,0.16,1.17,0.93,0.95,0.26,1.58
19631017,0.65,0.31,0.43,0.44,-0.31,0.13,0.26,0.83,-0.13,0.04,1.78,0.52,-0.3,-0.26,0.01
19631018,-0.14,0.25,0.32,-0.3,-0.27,-0.43,1.02,0.66,0,-0.59,0.79,1.02,0.01,0.06,-0.07
19631021,0.08,0.07,0.75,-0.54,0.04,0.12,-0.63,0.46,0.22,-1.31,0.29,0.29,-0.26,0.02,-0.38
19631022,-0.04,-0.31,-0.29,-0.92,0.5,-2.44,0.46,0.04,0.01,0.34,-0.4,0.1,-0.49,-0.19,-0.44
19631023,-0.21,0.18,0.13,-0.02,0.3,0.14,2.96,0.29,-0.45,-0.06,-0.63,0.18,-0.35,-0.05,-0.44
19631024,-0.88,0.06,0.08,0.84,0.49,0.4,-0.88,0.89,-0.32,-0.13,-0.49,2.05,0.57,0.14,2.02
19631025,0.46,0.16,0.66,1.38,0.52,-0.29,0.81,0.37,-0.23,-0.02,0.07,-0.45,1,0.03,4.08
19631028,0.84,0.39,0.48,-1.66,0.07,0.26,0.18,-0.78,-0.5,0.43,0.59,0.89,0.27,-0.22,2.36
19631029,0,0.09,0.6,0.15,0.62,0.65,0.31,-0.4,-0.28,-0.05,0.43,-0.58,-0.45,0.01,1.18
19631030,0,-0.26,-0.54,-0.05,0.1,-0.94,-2.25,-0.41,0.28,-0.27,-1.06,-0.9,-0.71,-0.12,-2.14
19631031,-0.94,0.09,0.07,0.24,0.97,-0.16,0.14,-0.07,0.89,0.57,-1.33,0.55,-0.16,0.07,0.26
19631101,-0.26,0.5,-0.38,-0.94,0.2,-0.49,0.42,0.45,0.69,-0.18,1.14,0.18,0.02,-0.01,-0.65
19631104,-0.45,-0.2,-0.01,-0.4,0.12,-0.24,-0.27,-0.36,-0.07,-0.01,-1.35,-0.29,0.09,-0.05,-1.75
19631106,0.04,-0.43,-0.22,-1.43,-0.84,-0.71,-0.61,0.39,-0.41,-1.11,-0.94,-0.66,-1.18,-0.36,-0.95
19631107,-0.8,-0.03,0.14,1.41,0.78,-0.1,-0.78,1.75,-0.01,0.96,0.69,0.76,0.58,0.26,0.7
19631108,-0.06,-0.05,0.72,0.26,0.45,0.33,0.38,1.68,0.35,-0.63,0.93,0.62,0.45,0.11,-0.04
19631111,-0.61,0.54,0.38,-0.54,0.25,0.2,-0.21,0.6,1.28,-0.25,0.9,0.96,-0.17,-0.01,0.19
19631112,0.09,-0.14,-0.19,0.27,0.4,-0.49,-0.88,-0.5,0.58,-0.78,-0.46,-0.39,-0.77,-0.21,-0.65
19631113,3.41,0.42,0.51,-0.78,0.58,-0.45,-0.62,-0.15,0.54,0.75,0.08,-0.82,-0.56,0.19,-0.21
19631114,0.3,-0.18,-0.1,-0.43,0.35,-0.52,0.94,-0.42,0,-0.35,-0.42,-1.33,-0.77,-0.07,-1.47
19631115,2.43,-0.42,-0.3,-0.7,-0.15,-0.65,-1,-0.7,-0.11,-0.34,0.31,-0.04,-1.35,-0.04,-2.24
19631118,-1.97,-0.89,-0.55,-1.24,-0.3,-0.29,0.35,-0.44,-0.36,-0.09,-1.76,-0.42,-1.74,-0.26,-0.13
19631119,-0.62,0.31,0.38,-0.04,0.24,-0.02,-1.18,0.14,-0.12,-0.38,0.42,-0.1,0.75,0.12,1.15
19631120,-0.81,-0.29,0.71,-1.42,-0.31,-0.01,0.07,0.02,-0.22,0.65,1.09,0.26,1.48,-0.14,0.03
19631121,-2.39,-0.44,-1.06,-1.59,-0.57,-1.74,-1.47,-1.06,-0.14,-0.58,0.17,-1.03,-0.44,-0.68,-2.36
19631122,0.31,-2.17,-3.04,-3.99,-3.39,-3.61,-1.95,-4.42,-1.61,-1.93,-4.27,-0.68,-2.58,-1.1,-3.66
19631126,-0.56,2.17,5.01,3.45,2.79,5.96,3.7,4.83,2.98,0.78,4.53,2,3.35,1.01,6.05
19631127,-0.19,-0.11,-0.29,0.64,-0.02,-0.21,0.19,0.46,0.03,-0.19,-0.2,-0.12,-0.18,-0.23,-0.47
19631129,-0.78,1.07,0.69,2.66,1.57,1.47,0.92,3.48,0.64,-0.3,2.49,2.06,2.01,0.43,0.75
19631202,2.17,0.23,1.04,-0.01,0.91,0.2,0.26,-0.49,-0.28,-0.24,0.15,0.52,1.09,0.29,0.43
19631203,-0.42,0.04,0.83,1.27,0.29,-0.61,0.55,-1.16,0.3,-0.02,0.7,0.4,-0.06,0.11,-0.6
19631204,1.95,0.65,0.33,-0.75,0.92,0.55,-0.34,0.15,0.28,0.24,0.62,0.32,0.12,0.24,0.52
19631205,0.38,0.22,1.73,0.75,0.53,0.79,0.43,0.17,0.22,-0.37,1.37,2.39,0.79,0.34,0.17
19631206,0.69,-0.21,-0.1,0.96,0.6,-0.94,0.68,-0.34,-0.21,0.68,-0.64,0.78,-0.03,0.12,-1.2
19631209,-0.54,-0.18,0.08,-0.16,-0.01,-0.55,-0.65,-0.78,-0.18,-0.66,-0.12,-0.85,-0.39,0.07,0.56
19631210,-0.63,-0.03,0.11,0.69,1.05,0.01,0.5,-1.01,-0.46,-0.4,0.38,0.06,0.24,0.11,0.59
19631211,-0.26,-0.19,-0.84,-0.65,-0.38,-0.29,-1.27,-0.35,0.65,0.78,0.02,0.04,0.16,0,-1
19631212,-0.93,0.15,0.23,-1.24,0.11,0.08,-1.13,-0.56,-0.16,-0.05,-0.82,-0.32,0,0.09,-0.31
19631213,-0.38,0.06,0.25,-1.01,0.3,0.59,-0.68,0.53,0.55,-0.62,0.4,1.8,0.31,0.04,0.1
19631216,0.91,0.04,0.3,0.53,0.34,0.07,0.99,-0.58,-0.74,-0.36,0.16,0.93,0.83,0.32,0.81
19631217,-1.4,0.37,0.46,-0.92,0.19,0.93,-0.62,-0.19,0.21,-0.03,0.19,-0.23,0.33,0.12,2.3
19631218,0.05,0.07,0.07,-0.12,-0.55,1.12,-1.02,-0.15,-0.63,-0.36,0.39,-0.48,0.08,0.03,-1.95
19631219,1.08,-0.34,-0.69,-0.67,-0.03,-0.82,-0.42,-0.81,-0.84,-0.22,0.11,-1.12,0.11,-0.18,-0.93
19631220,-0.08,-0.06,0.2,-0.71,-0.35,-0.26,-0.54,0.42,0.32,-0.28,0.19,0.26,0.5,0.04,-1.18
19631223,-1.3,-0.68,-0.12,0.19,-0.99,-0.35,-0.15,-0.24,-0.01,0.08,0.05,-0.93,-0.78,-0.44,-0.9
19631224,1.57,0.09,-0.62,0.63,-0.5,0.25,0.36,0.02,-0.62,0.63,-0.2,0.3,-0.09,0.02,1.98
19631226,0.95,0.52,0.47,-0.08,-0.35,0.49,0.68,0.67,-0.15,-0.12,1.38,0.66,0.45,0.19,0.03
19631227,-0.81,0.67,0.58,1.02,0.75,0.24,1.45,-0.15,-0.08,2.71,0.36,0.11,0.19,0.22,-0.79
19631230,0.52,0.48,-0.14,-0.08,0.33,-0.42,1.84,-1.33,0.77,2.08,0.36,0.88,-0.09,0.12,0.5
19631231,-0.2,0.52,0.28,0.78,0.16,0.47,0.12,-0.26,1.39,0.12,1.52,-0.17,0.82,0.58,0.01
19640102,-0.82,-0.07,0.65,1.07,0.54,2.15,1.56,2.24,0.33,0.81,0.7,-0.58,0.36,-0.07,1.74
19640103,1.46,0.35,0.3,0.03,0.16,0.73,1.33,0.15,0.31,0.99,0.38,0.97,0.88,0.25,-0.29
19640106,0,0.44,0.42,-0.57,1.62,1.06,-0.05,0.21,0.15,-0.43,0.03,0.25,0.42,0.35,-0.85
19640107,1.09,0.29,0.29,-1.25,-0.01,1.36,1.27,0.68,0.69,-1.11,0.76,1.88,0.22,0.34,-0.64
19640108,1.97,-0.07,0.02,0.63,0.15,0.17,2.85,0.72,0.88,0.09,0.18,-0.16,-0.13,0.39,1.04
19640109,1.34,-0.22,-0.16,1.16,0.46,-0.33,0.24,-0.21,-0.84,-0.2,-0.86,-0.08,0.07,0.03,0.78
19640110,-1.43,-0.01,0.02,0.74,0,-0.48,-1.12,0.19,-0.86,-0.19,-0.64,-0.83,0.28,0.04,-0.83
19640113,-1.36,0.09,0.12,-1.09,0.38,0.71,-1.1,-0.26,-0.54,0.14,-0.57,0.42,-0.28,-0.03,-0.76
19640114,-0.25,-0.03,0.24,-0.67,0.07,1.34,0.26,-1.27,0.46,0.8,0.12,1.86,0.19,-0.02,0.57
19640115,-0.16,-0.28,0.36,-0.95,0.15,0.3,-0.21,-0.62,0.52,-0.13,-0.32,1.49,0.26,0.11,0
19640116,0.35,-0.14,1.02,0.21,0.07,-0.76,0.16,-0.29,-0.56,0.69,0.87,-0.44,-0.29,0.13,-0.48
19640117,-0.33,0.11,-0.01,1.55,-0.18,-0.02,-0.44,-0.48,-1.04,-0.18,0.58,-0.19,-0.81,-0.04,-0.25
19640120,-0.04,-0.18,-0.41,0,-0.16,-1.23,-0.88,-0.23,0.06,0.16,-0.96,-0.18,-0.24,-0.22,-0.78
19640121,-0.27,0.49,0.89,-0.39,-0.14,0.21,0.4,0.22,-0.4,-0.01,-0.33,-0.34,0.9,0.22,0.13
19640122,-0.08,0.16,0.44,-0.29,0.4,-0.1,0.9,0.91,1.59,0.01,0.24,0.79,0.88,0.37,0.29
19640123,-0.49,0.35,0.08,0.06,0.11,0.08,-0.1,0.29,1.06,-0.43,0.39,0.87,0.38,0.16,-0.06
19640124,2.04,-0.23,-0.34,0.74,0.46,0.1,0.88,0.65,0.18,-0.02,0.4,0.07,0.22,-0.17,1.06
19640127,-0.08,0.04,-0.31,-0.97,-0.35,0.07,-2.27,0.66,1.35,-0.6,-0.11,0.4,0.68,0.05,-0.36
19640128,-1.54,0.13,-0.11,0.09,-0.07,0.48,-0.14,0.28,0.3,0.08,0.52,-0.65,0.89,-0.05,-0.01
19640129,-0.11,-0.57,-0.87,1.01,-0.92,-1.09,0.12,-0.39,0.11,-0.03,-1.14,-0.82,-0.15,-0.41,-0.3
19640130,-1.47,0.39,0.46,0.56,-0.36,-0.38,2.39,-0.36,-0.02,-0.16,-0.43,-0.21,-0.62,0.05,0.27
19640131,1,-0.12,0.12,-1.58,-0.1,0.05,1.35,0.71,0.14,-0.13,0.11,-0.05,0.66,-0.09,0.86
19640203,1.84,0.35,0.24,0.22,0.28,0.25,0.27,1.32,0.23,-0.77,-0.48,0.12,0.36,0.14,-0.56
19640204,-0.63,0.12,0.43,-0.13,-1.2,-0.03,-0.4,-0.18,-0.65,0.65,-0.59,-0.82,0.02,0.11,0.1
19640205,0.05,0.01,0.4,0.68,-0.38,-0.11,-0.17,0.36,-1.08,-1.03,-0.11,-0.73,-0.21,0.11,-0.01
19640206,-0.26,0.4,0.69,0.04,0.66,0.18,0.54,0.71,-0.24,-0.49,1.9,0.78,-0.09,0.18,0.26
19640207,0.57,0.26,1.49,-0.61,1.37,0.22,-0.84,0.92,-0.84,-0.88,0.18,-0.31,0.37,0.23,-0.26
19640210,-0.89,-0.25,-0.97,0.39,0.08,-0.31,-0.26,-0.58,0.13,0.48,0.55,0.63,-0.12,0.02,0.19
19640211,-0.92,0.12,0.51,0.01,0.21,0.56,0.23,1.04,1.43,0.53,0.54,1.69,-0.18,0.12,0.18
19640212,1.82,-0.09,0.01,0.07,0.11,0.11,-0.56,0.09,-0.09,-0.1,1.36,0.7,-0.04,0.01,0.56
19640213,-0.19,0.09,0.02,0.43,0.71,-0.07,0.98,-0.59,-0.14,-0.14,0.78,0.21,0.22,-0.11,0.03
19640214,0.84,0.03,0.15,0.53,0.13,-0.35,1.59,0.37,1.01,1.15,0.12,-1.67,-0.16,-0.16,-0.35
19640217,-0.25,0.27,-0.29,-0.18,0,0.12,-0.88,0.6,0.54,-1.05,0.08,-0.53,0.3,-0.14,-0.17
19640218,0.35,-0.01,-0.25,-1.86,0.5,0.64,0.52,-0.22,0.87,0.49,-0.29,-2.14,0.33,-0.13,0.15
19640219,0.13,-0.04,-0.3,0.26,0.31,0.31,0.27,-0.33,0.08,0.92,0.43,1.65,0.19,0.12,1.1
19640220,-0.93,-0.05,0.05,0.16,-0.16,1.08,0.46,0.04,-0.58,-0.28,1.66,-0.24,0.06,-0.06,0.98
19640224,0.16,0.14,0.2,-0.07,0.24,0.08,0.01,0.06,0.12,-0.38,1.07,0.11,0.23,0.12,0.24
19640225,-0.88,-0.34,-0.18,0.37,-0.43,0.09,-0.92,0.38,0.62,-0.13,0.17,-0.09,0.03,0.09,-0.27
19640226,-0.3,0.31,0.02,0.03,0.57,0.24,0.43,0.95,0.45,0.19,-0.03,0.2,0.04,0.17,0.58
19640227,-1.14,-0.29,0.08,0.25,0.53,-0.48,-0.84,0.76,-0.03,1.16,-0.54,0.62,-0.4,-0.06,-0.24
19640228,-0.3,0.5,-0.04,-0.87,0.14,0.35,0.64,0.31,-0.78,1.47,-0.17,0.27,0.13,0.1,0.66
19640302,-0.57,0.02,0.45,1.79,0.19,1.44,0.19,1.87,0.15,1.11,-0.17,-0.35,-0.23,-0.06,0.57
19640303,-0.18,0.11,0.52,1.49,0.38,0.43,0.03,-0.25,0.43,-0.62,-0.5,0.82,0.09,-0.09,0.97
19640304,0.49,-0.14,-0.28,-1.64,0.08,-0.27,1.01,-0.35,-0.08,-0.11,0.53,-0.55,0.08,-0.28,0.34
19640305,-0.26,-0.25,-0.22,0.77,0.05,0.07,0.02,0.78,-0.17,0.7,0.28,0.6,0.06,0.11,-0.32
19640306,0.12,0.54,-0.04,1.21,0.94,0.45,2.54,0.24,-0.18,-0.04,0.42,0.13,0.18,0.22,0.58
19640309,-0.88,0.59,0.03,0.12,0.04,1.01,1.22,-0.58,0.17,1.27,0.06,0.04,-0.52,-0.01,1.02
19640310,-0.34,-0.15,0.28,-0.4,-0.21,0.25,1.58,-0.91,0.22,0.1,0.44,-0.21,0.34,-0.07,1.43
19640311,0.08,0.24,0.66,0.9,0.34,0.52,1.6,-0.65,0.26,-0.33,-0.66,0.19,0.2,0.25,0.93
19640312,-1.16,0.18,-0.26,0.8,0.08,0.28,0.42,0.86,0.72,0.03,0.25,-0.84,0.22,-0.01,-0.37
19640313,-0.68,-0.29,0.12,-0.48,0.06,1.11,-0.81,1.71,0.37,-0.68,0.48,0.08,0.15,-0.04,-0.02
19640316,1.58,-0.06,0.17,-0.08,-0.15,-0.33,0.69,-0.3,0.31,0.42,1,-0.14,0.32,0,-0.59
19640317,-0.2,0.48,0.57,-0.29,-0.11,-0.39,0.16,0,0.27,-1.22,0.85,0.71,0.34,-0.01,0.11
19640318,0.23,0.17,0.29,0.13,-0.17,0.65,1.27,-0.04,0.05,0.67,0.84,-1.63,0.5,0.04,-0.37
19640319,-0.36,0.3,-0.1,-0.36,-0.87,-0.12,0.1,0.03,0.86,1.7,-1.01,0.77,0.35,-0.07,-0.35
19640320,-0.71,-0.7,-0.32,-0.28,-0.56,-0.18,-1.94,-0.33,-0.31,-0.71,0.17,0.09,-0.44,-0.28,-1.29
19640323,-0.71,-0.13,-0.07,0.66,-0.31,-0.15,0.79,-0.37,-0.67,-0.08,0.38,-0.27,0.26,-0.16,-0.47
19640324,-1.77,0.09,0.02,-0.92,0.17,0.5,1.29,0,-0.76,0.89,-0.09,0.54,-0.22,-0.09,0.18
19640325,2.15,0.16,0.56,1.35,0.69,1.71,-0.32,-0.25,-0.34,0.03,0.88,-0.14,-0.05,-0.01,0.39
19640326,0.72,0.17,0.31,-0.09,0.52,0.96,-0.58,0.56,0.53,0.75,1.33,-0.17,-0.05,-0.07,0.52
19640330,0.06,0.03,0.02,0.2,0.15,-0.42,2.15,-0.04,-0.41,0.05,0.46,-1.24,-0.07,0.14,-1.14
19640331,-0.94,-0.26,-0.07,0.84,-0.84,-0.71,0.43,-0.01,0.37,0.01,-0.44,-0.49,-0.04,-0.26,-1.29
19640401,0.8,0.13,0.23,0.05,1.2,0.62,-0.89,0.62,-0.75,0.52,0.99,0.11,0.16,0.27,0.85
19640402,-0.03,0.25,0.52,-0.21,-0.03,0.96,0.07,1.25,0.66,0.14,0.83,0.09,0.5,0.26,0.56
19640403,-1.12,0.4,0.68,2.64,0.66,-0.53,2.26,-0.11,-0.35,1.1,0.66,0.45,0.5,0.13,0.59
19640406,0.08,0.26,0.45,-1.05,0.06,0.42,-0.36,0.05,0.25,0.91,1.65,-0.41,0.31,0.04,-0.22
19640407,1.32,-0.14,-0.3,-0.13,-0.22,-1.69,0.5,-0.34,-0.91,-0.52,-0.3,-0.97,0.11,-0.07,-0.77
19640408,0.04,-0.48,-0.04,1.33,1.01,0.05,1,-0.42,0.41,-0.36,1.14,-0.11,0.22,0.11,0.22
19640409,1.22,0,-0.17,0.14,0.32,0.1,-1.41,-0.28,0.19,-0.35,0.47,0.23,0.1,-0.1,0.55
19640410,0.4,-0.46,0.3,1.27,-0.23,0.23,-0.08,0.34,0.82,-0.16,1.18,-0.85,0.01,0.14,0.29
19640413,0.28,0.09,-0.19,-0.88,0,-0.28,-0.37,-0.26,-0.14,-0.12,0.63,0.36,0.27,0.02,-0.63
